0,1/169,2/169,3/169,4/169,5/169,6/169,7/169,8/169,15/169,14/169,13/169,12/169,11/169,10/169,9/169,8/169,16/169,8/169,1/169,2/169,2/169,2/169,2/169,2/169,2/169,2/169,2/169,0;
0,0,0,  1/13,  1/13,  1/13,  1/13,  1/13,  1/13,  1/13,  1/13,  4/13,0,0,0,0,0,0,0,0,0,0,  1/13,0,0,0,0,0,0;
0,0,0,0,  1/13,  1/13,  1/13,  1/13,  1/13,  1/13,  1/13,  1/13,  4/13,0,0,0,0,0,0,0,0,0,0,  1/13,0,0,0,0,0;
0,0,0,0,0,  1/13,  1/13,  1/13,  1/13,  1/13,  1/13,  1/13,  1/13,  4/13,0,0,0,0,0,0,0,0,0,0,  1/13,0,0,0,0;
0,0,0,0,0,0,  1/13,  1/13,  1/13,  1/13,  1/13,  1/13,  1/13,  1/13,  4/13,0,0,0,0,0,0,0,0,0,0,  1/13,0,0,0;
0,0,0,0,0,0,0,  1/13,  1/13,  1/13,  1/13,  1/13,  1/13,  1/13,  1/13,  4/13,0,0,0,0,0,0,0,0,0,0,  1/13,0,0;
0,0,0,0,0,0,0,0,  1/13,  1/13,  1/13,  1/13,  1/13,  1/13,  1/13,  1/13,  4/13,0,0,0,0,0,0,0,0,0,0,  1/13,0;
0,0,0,0,0,0,0,0,0,  1/13,  1/13,  1/13,  1/13,  1/13,  1/13,  1/13,  1/13,  4/13,  1/13,0,0,0,0,0,0,0,0,0,0;
0,0,0,0,0,0,0,0,0,  1/13,  1/13,  1/13,  1/13,  1/13,  1/13,  1/13,  1/13,  1/13,  4/13,0,0,0,0,0,0,0,0,0,0;
0,0,0,0,0,0,0,0,0,0,  1/13,  1/13,  1/13,  1/13,  1/13,  1/13,  1/13,  1/13,  1/13,0,0,0,0,0,0,0,0,0,  4/13;
0,0,0,0,0,0,0,0,0,0,0,  1/13,  1/13,  1/13,  1/13,  1/13,  1/13,  1/13,  1/13,0,0,0,0,0,0,0,0,0,  5/13;
0,0,0,0,0,0,0,0,0,0,0,0,  1/13,  1/13,  1/13,  1/13,  1/13,  1/13,  1/13,0,0,0,0,0,0,0,0,0,  6/13;
0,0,0,0,0,0,0,0,0,0,0,0,0,  1/13,  1/13,  1/13,  1/13,  1/13,  1/13,0,0,0,0,0,0,0,0,0,  7/13;
0,0,0,0,0,0,0,0,0,0,0,0,0,0,  1/13,  1/13,  1/13,  1/13,  1/13,0,0,0,0,0,0,0,0,0,  8/13;
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0;
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0;
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0;
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0;
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0;
0,0,0,0,0,0,0,0,0,  4/13,0,0,0,0,0,0,0,0,  1/13,0,  1/13,  1/13,  1/13,  1/13,  1/13,  1/13,  1/13,  1/13,0;
0,0,0,0,0,0,0,0,0,  1/13,  4/13,0,0,0,0,0,0,0,  1/13,0,0,  1/13,  1/13,  1/13,  1/13,  1/13,  1/13,  1/13,0;
0,0,0,0,0,0,0,0,0,  1/13,  1/13,  4/13,0,0,0,0,0,0,  1/13,0,0,0,  1/13,  1/13,  1/13,  1/13,  1/13,  1/13,0;
0,0,0,0,0,0,0,0,0,  1/13,  1/13,  1/13,  4/13,0,0,0,0,0,  1/13,0,0,0,0,  1/13,  1/13,  1/13,  1/13,  1/13,0;
0,0,0,0,0,0,0,0,0,  1/13,  1/13,  1/13,  1/13,  4/13,0,0,0,0,  1/13,0,0,0,0,0,  1/13,  1/13,  1/13,  1/13,0;
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0;
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0;
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0;
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0;
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1;
